@id,addr:city,addr:street
1694755678,Roma,Via del Risaro
1694755684,Roma,Via del Risaro
1694761176,Roma,Largo Castel Bolognese
1694774031,Roma,Via del Risaro
1695255321,Roma,Via dei Barbieri
1695279656,Roma,Via del Teatro Valle
1696581871,Roma,Via della Conciliazione
1696718213,Roma,Piazza di Sant'Eustachio
1697500269,Roma,Vicolo Della Fontana
1701305279,Roma,Via Ardeatina
1702468818,Roma,Via Appia Antica
1702468825,Roma,Via Appia Antica
1702468835,Roma,Via Appia Antica
1702468847,Roma,Via Appia Antica
1702517771,Roma,Via Appia Antica
1702517772,Roma,Via Appia Antica
1702517777,Roma,Via Appia Antica
1702517778,Roma,Via Appia Antica
1702517779,Roma,Via Appia Antica
1702517887,Roma,Via Appia Antica
1702557520,Roma,Via Appia Antica
1702557522,Roma,Via Appia Antica
1702557523,Roma,Via Appia Antica
1702557525,Roma,Via Appia Antica
1702557530,Roma,Via Appia Antica
1702557534,Roma,Via Appia Antica
1702557541,Roma,Via Appia Antica
1702557543,Roma,Via Appia Antica
1702557545,Roma,Via Appia Antica
1702599606,Roma,Via Appia Antica
1702599615,Roma,Via Appia Antica
1702599625,Roma,Via Appia Antica
1702599631,Roma,Via Appia Antica
1702599639,Roma,Via Appia Antica
1702599656,Roma,Via Appia Antica
1702671998,Roma,Via Appia Antica
1702672003,Roma,Via Appia Antica
1702672005,Roma,Via Appia Antica
1702672009,Roma,Via Appia Antica
1702672018,Roma,Via Appia Antica
1702672022,Roma,Via Appia Antica
1702672028,Roma,Via Appia Antica
1702680920,Roma,Via Appia Antica
1702680921,Roma,Via Appia Antica
1702758604,Roma,Via Appia Antica
1702758610,Roma,Via Appia Antica
1702758614,Roma,Via Appia Antica
1702758620,Roma,Via Appia Antica
1702758624,Roma,Via Appia Antica
1702758634,Roma,Via Appia Antica
1702758637,Roma,Via Appia Antica
1703090009,Roma,Via della Minerva
1703104111,Roma,Vicolo Rosini
1705532032,Roma,Piazza Bartolomeo Romano
1710679140,Roma,Via Ostiense
1713309585,Roma,Via Mattia Battistini
1713448019,Roma,Circonvallazione Ostiense
1715979029,Roma,Via Guglielmo Massaia
1719296536,Roma,Largo di Torre Argentina
1721632484,Roma,Via Augusto Dulceri
